year,reporterDesc,partnerDesc,flowDesc,cmdCode,cmdDesc,trade_value_USD,netWgt,qty,qtyUnitAbbr
2018,Mauritania,World,Export,26,"Ores, slag and ash",734278770.34,0.0,0,N/A
2019,Mauritania,World,Export,26,"Ores, slag and ash",1092522594.1,0.0,0,N/A
2020,Mauritania,World,Export,26,"Ores, slag and ash",1190426333.34,0.0,0,N/A
2020,Mauritania,World,Export,26,"Ores, slag and ash",91.962,0.0,0,N/A
2020,Mauritania,World,Export,26,"Ores, slag and ash",1190426241.377,0.0,0,N/A
2020,Mauritania,World,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1753298.187,0.0,0,N/A
2020,Mauritania,World,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",908844.597,0.0,0,N/A
2020,Mauritania,World,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",751967.99,0.0,0,N/A
2020,Mauritania,World,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",92485.599,0.0,0,N/A
2020,Mauritania,World,Export,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",13303202.82,,0,N/A
2020,Mauritania,World,Export,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",680177.877,,0,N/A
2020,Mauritania,World,Export,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",11951503.51,,0,N/A
2020,Mauritania,World,Export,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",671521.433,,0,N/A
2020,Mauritania,World,Export,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",9520238.641,0.0,0,N/A
2020,Mauritania,World,Export,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",117055.157,0.0,0,N/A
2020,Mauritania,World,Export,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",4510017.917,0.0,0,N/A
2020,Mauritania,World,Export,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",4893165.568,0.0,0,N/A
2021,Mauritania,World,Export,26,"Ores, slag and ash",2046940787.36,,0,N/A
2021,Mauritania,World,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",748082.54,0.0,0,N/A
2021,Mauritania,World,Export,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",11383664.26,0.0,0,N/A
2021,Mauritania,World,Export,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",10278716.31,0.0,0,N/A
2022,Mauritania,World,Export,26,"Ores, slag and ash",1479125584.419,,0,N/A
2022,Mauritania,World,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1091139.183,0.0,0,N/A
2022,Mauritania,World,Export,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",7032665.119,0.0,0,N/A
2022,Mauritania,World,Export,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",23546492.316,0.0,0,N/A
2023,Mauritania,World,Export,26,"Ores, slag and ash",1537305797.476,,0,N/A
2023,Mauritania,World,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",3483199.501,0.0,0,N/A
2023,Mauritania,World,Export,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",35144740.295,0.0,0,N/A
2023,Mauritania,World,Export,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",19498165.012,0.0,0,N/A
2024,Mauritania,World,Export,10,Cereals,19238.743,0.0,0,N/A
2024,Mauritania,World,Export,26,"Ores, slag and ash",1378787739.677,0.0,0,N/A
2024,Mauritania,World,Export,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",5647338.613,0.0,0,N/A
2024,Mauritania,World,Export,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",21590844.161,0.0,0,N/A
2024,Mauritania,World,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",518628.216,0.0,0,N/A
