Regime,Series,Mean,Median,Std Dev,Min,Max,Change %
Pre-COVID Baseline,WTI Crude Oil,54.03,54.03,4.93,50.54,57.52,-12.1
Pre-COVID Baseline,Brent Crude Oil,59.65,59.65,5.65,55.66,63.65,-12.6
Pre-COVID Baseline,EU NatGas,3.31,3.31,0.45,3.0,3.63,-17.4
Pre-COVID Baseline,Henry Hub NatGas,1.96,1.96,0.08,1.91,2.02,-5.4
COVID Demand Collapse,WTI Crude Oil,36.27,39.52,8.93,16.55,47.02,61.0
COVID Demand Collapse,Brent Crude Oil,38.18,40.59,9.14,18.38,49.99,56.2
COVID Demand Collapse,EU NatGas,3.15,2.7,1.57,1.46,5.83,108.9
COVID Demand Collapse,Henry Hub NatGas,2.05,1.86,0.38,1.63,2.61,44.1
Recovery & Tightening,WTI Crude Oil,69.16,71.38,9.1,52.01,83.22,60.0
Recovery & Tightening,Brent Crude Oil,71.89,73.16,8.89,54.77,86.51,57.9
Recovery & Tightening,EU NatGas,16.83,12.52,10.75,6.17,37.36,281.9
Recovery & Tightening,Henry Hub NatGas,3.94,3.84,1.07,2.62,5.51,61.6
Ukraine War Shock,WTI Crude Oil,87.53,84.31,13.51,70.25,114.84,-2.4
Ukraine War Shock,Brent Crude Oil,93.06,90.59,14.44,74.84,122.71,-3.5
Ukraine War Shock,EU NatGas,26.93,23.9,17.01,9.61,69.98,-57.6
Ukraine War Shock,Henry Hub NatGas,4.74,4.8,2.36,2.15,8.81,-43.7
Middle East Escalation,WTI Crude Oil,79.23,79.77,4.6,71.9,85.64,-6.9
Middle East Escalation,Brent Crude Oil,83.79,82.94,4.26,77.63,90.6,-9.2
Middle East Escalation,EU NatGas,10.51,10.11,2.0,8.1,13.71,-19.3
Middle East Escalation,Henry Hub NatGas,2.32,2.52,0.61,1.49,3.18,-14.8
Sustained Crisis,WTI Crude Oil,70.09,68.31,10.24,57.97,99.85,22.1
Sustained Crisis,Brent Crude Oil,75.08,72.09,13.09,62.54,118.43,39.1
Sustained Crisis,EU NatGas,12.54,11.87,2.2,9.46,17.67,72.6
Sustained Crisis,Henry Hub NatGas,3.34,3.08,1.2,1.99,7.72,46.9
